Plant_ID,Date,Temperature (°C),F,Humidity (%),TDS Value (ppm),pH Level,Growth Days,weeks
3,8/24/2023,31.3,88.34,55,545,6.4,22,3.142857143
3,8/25/2023,31.4,88.52,74,630,6.6,23,3.285714286
3,8/26/2023,31.4,88.52,53,491,6.4,24,3.428571429
3,8/27/2023,30.1,86.18,80,661,6.7,25,3.571428571
3,8/28/2023,29.4,84.92,75,535,6.1,26,3.714285714
3,8/29/2023,28.7,83.66,73,629,6.6,27,3.857142857
3,8/30/2023,29.1,84.38,73,738,6.6,28,4
3,8/31/2023,29.2,84.56,69,758,6.2,29,4.142857143
3,9/1/2023,31.7,89.06,76,799,6.3,30,4.285714286
3,9/2/2023,31.7,89.06,75,577,6.2,31,4.428571429
3,9/3/2023,31.7,89.06,69,439,6.3,32,4.571428571
3,9/4/2023,31.7,89.06,50,516,6.5,33,4.714285714
3,9/5/2023,32,89.6,72,741,6.8,34,4.857142857
3,9/6/2023,32.1,89.78,72,492,6,35,5
3,9/7/2023,31.5,88.7,75,762,6.2,36,5.142857143
3,9/8/2023,29.8,85.64,78,525,6,37,5.285714286
3,9/9/2023,20.1,68.18,80,428,6.5,38,5.428571429
3,9/10/2023,31.1,87.98,79,794,6.3,39,5.571428571
3,9/11/2023,31.2,88.16,73,460,6.7,40,5.714285714
3,9/12/2023,31.2,88.16,69,403,6.6,41,5.857142857
3,9/13/2023,30.4,86.72,54,480,6.7,42,6
3,9/14/2023,29.1,84.38,73,747,6.1,43,6.142857143
3,9/15/2023,30.6,87.08,58,479,6.7,44,6.285714286
3,9/16/2023,31.5,88.7,73,691,6.7,45,6.428571429
3,9/17/2023,30.5,86.9,75,517,6.4,46,6.571428571
3,9/18/2023,29.7,85.46,72,549,6.6,47,6.714285714
4,8/3/2023,33.4,92.12,62,547,6.7,1,0.142857143
4,8/4/2023,33.5,92.3,54,609,6.7,2,0.285714286
4,8/5/2023,33.4,92.12,60,794,6.3,3,0.428571429
4,8/6/2023,33.4,92.12,58,562,6,4,0.571428571
4,8/7/2023,33.4,92.12,57,726,6.1,5,0.714285714
4,8/8/2023,32.3,90.14,59,442,6.7,6,0.857142857
4,8/9/2023,32.3,90.14,65,598,6.4,7,1
4,8/10/2023,22.7,72.86,57,549,6.5,8,1.142857143
4,8/11/2023,31.9,89.42,69,785,6.7,9,1.285714286
4,8/12/2023,30.2,86.36,66,762,6.3,10,1.428571429
4,8/13/2023,30.1,86.18,70,419,6.1,11,1.571428571
4,8/14/2023,30.1,86.18,64,525,6.2,12,1.714285714
4,8/15/2023,30.1,86.18,66,608,6.7,13,1.857142857
4,8/16/2023,29.8,85.64,52,458,6.3,14,2
4,8/17/2023,29.6,85.28,59,571,6,15,2.142857143
4,8/18/2023,30.9,87.62,57,747,6.7,16,2.285714286
4,8/19/2023,30.8,87.44,77,518,6.7,17,2.428571429
4,8/20/2023,30.9,87.62,66,490,6.3,18,2.571428571
4,8/21/2023,30.2,86.36,71,502,6.7,19,2.714285714
4,8/22/2023,30.5,86.9,58,631,6.1,20,2.857142857
4,8/23/2023,30.8,87.44,58,735,6.4,21,3
4,8/24/2023,31.3,88.34,73,418,6.7,22,3.142857143
4,8/25/2023,31.4,88.52,63,740,6.1,23,3.285714286
4,8/26/2023,31.4,88.52,53,402,6.7,24,3.428571429
4,8/27/2023,30.1,86.18,66,652,6.6,25,3.571428571
4,8/28/2023,29.4,84.92,56,437,6.7,26,3.714285714
4,8/29/2023,28.7,83.66,73,558,6.5,27,3.857142857
4,8/30/2023,29.1,84.38,71,525,6.6,28,4
4,8/31/2023,29.2,84.56,63,604,6.5,29,4.142857143
4,9/1/2023,31.7,89.06,68,787,6.6,30,4.285714286
4,9/2/2023,31.7,89.06,71,711,6.8,31,4.428571429
4,9/3/2023,31.7,89.06,69,546,6.3,32,4.571428571
4,9/4/2023,31.7,89.06,71,485,6.2,33,4.714285714
4,9/5/2023,32,89.6,71,497,6.7,34,4.857142857
4,9/6/2023,32.1,89.78,51,577,6.1,35,5
4,9/7/2023,31.5,88.7,60,647,6.5,36,5.142857143
4,9/8/2023,29.8,85.64,78,564,6.2,37,5.285714286
4,9/9/2023,20.1,68.18,51,530,6.2,38,5.428571429
4,9/10/2023,31.1,87.98,63,543,6.3,39,5.571428571
4,9/11/2023,31.2,88.16,50,491,6.2,40,5.714285714
4,9/12/2023,31.2,88.16,72,729,6.6,41,5.857142857
4,9/13/2023,30.4,86.72,64,698,6.1,42,6
4,9/14/2023,29.1,84.38,62,530,6.8,43,6.142857143
4,9/15/2023,30.6,87.08,58,764,6.4,44,6.285714286
4,9/16/2023,31.5,88.7,63,654,6.7,45,6.428571429
4,9/17/2023,31.3,88.34,71,652,6.8,46,6.571428571
4,9/18/2023,30.8,87.44,63,754,6.1,47,6.714285714
4,9/19/2023,30.6,87.08,62,641,6.2,48,6.857142857
5,8/3/2023,33.4,92.12,67,651,6.3,1,0.142857143
5,8/4/2023,33.5,92.3,53,684,6.6,2,0.285714286
5,8/5/2023,33.4,92.12,54,449,6.1,3,0.428571429
5,8/6/2023,33.4,92.12,76,572,6.6,4,0.571428571
5,8/7/2023,33.4,92.12,67,571,6.7,5,0.714285714
5,8/8/2023,32.3,90.14,50,481,6.5,6,0.857142857
5,8/9/2023,32.3,90.14,74,558,6.7,7,1
5,8/10/2023,22.7,72.86,59,652,6.5,8,1.142857143
5,8/11/2023,31.9,89.42,54,637,6.7,9,1.285714286
5,8/12/2023,30.2,86.36,77,417,6.8,10,1.428571429
5,8/13/2023,30.1,86.18,79,429,6.2,11,1.571428571
5,8/14/2023,30.1,86.18,63,500,6.5,12,1.714285714
5,8/15/2023,30.1,86.18,75,675,6.8,13,1.857142857
5,8/16/2023,29.8,85.64,78,624,6.3,14,2
5,8/17/2023,29.6,85.28,65,525,6.3,15,2.142857143
5,8/18/2023,30.9,87.62,78,778,6,16,2.285714286
5,8/19/2023,30.8,87.44,68,678,6.1,17,2.428571429
5,8/20/2023,30.9,87.62,57,502,6.7,18,2.571428571
5,8/21/2023,30.2,86.36,67,766,6.1,19,2.714285714
5,8/22/2023,30.5,86.9,78,722,6.2,20,2.857142857
5,8/23/2023,30.8,87.44,61,460,6.2,21,3
5,8/24/2023,31.3,88.34,57,587,6.5,22,3.142857143
5,8/25/2023,31.4,88.52,53,646,6.2,23,3.285714286
5,8/26/2023,31.4,88.52,55,749,6.7,24,3.428571429
5,8/27/2023,30.1,86.18,52,468,6.7,25,3.571428571
5,8/28/2023,29.4,84.92,67,470,6.4,26,3.714285714
5,8/29/2023,28.7,83.66,58,565,6.5,27,3.857142857
5,8/30/2023,29.1,84.38,75,516,6.5,28,4
5,8/31/2023,29.2,84.56,54,410,6.6,29,4.142857143
5,9/1/2023,31.7,89.06,66,763,6.1,30,4.285714286
5,9/2/2023,31.7,89.06,56,413,6.4,31,4.428571429
5,9/3/2023,31.7,89.06,67,468,6.2,32,4.571428571
5,9/4/2023,31.7,89.06,66,422,6.5,33,4.714285714
5,9/5/2023,32,89.6,66,661,6.2,34,4.857142857
5,9/6/2023,32.1,89.78,72,605,6.2,35,5
5,9/7/2023,31.5,88.7,70,768,6.8,36,5.142857143
5,9/8/2023,29.8,85.64,65,645,6.3,37,5.285714286
5,9/9/2023,20.1,68.18,54,661,6.3,38,5.428571429
5,9/10/2023,31.1,87.98,76,573,6.4,39,5.571428571
5,9/11/2023,31.2,88.16,52,471,6.7,40,5.714285714
5,9/12/2023,31.2,88.16,72,738,6.2,41,5.857142857
5,9/13/2023,30.4,86.72,60,529,6.1,42,6
5,9/14/2023,29.1,84.38,58,576,6.2,43,6.142857143
5,9/15/2023,30.6,87.08,77,453,6.1,44,6.285714286
5,9/16/2023,31.5,88.7,80,483,6.5,45,6.428571429
6,8/3/2023,33.4,92.12,66,795,6.1,1,0.142857143
6,8/4/2023,33.5,92.3,77,738,6.5,2,0.285714286
6,8/5/2023,33.4,92.12,66,662,6.4,3,0.428571429
6,8/6/2023,33.4,92.12,56,653,6.3,4,0.571428571
6,8/7/2023,33.4,92.12,62,521,6.7,5,0.714285714
6,8/8/2023,32.3,90.14,65,482,6.7,6,0.857142857
6,8/9/2023,32.3,90.14,60,620,6.6,7,1
6,8/10/2023,22.7,72.86,74,740,6.6,8,1.142857143
6,8/11/2023,31.9,89.42,73,760,6.3,9,1.285714286
6,8/12/2023,30.2,86.36,71,485,6.4,10,1.428571429
6,8/13/2023,30.1,86.18,59,648,6.1,11,1.571428571
6,8/14/2023,30.1,86.18,64,490,6.6,12,1.714285714
6,8/15/2023,30.1,86.18,74,425,6.1,13,1.857142857
6,8/16/2023,29.8,85.64,78,755,6.8,14,2
6,8/17/2023,29.6,85.28,50,437,6.6,15,2.142857143
6,8/18/2023,30.9,87.62,59,666,6.4,16,2.285714286
6,8/19/2023,30.8,87.44,58,583,6.6,17,2.428571429
6,8/20/2023,30.9,87.62,56,568,6.2,18,2.571428571
6,8/21/2023,30.2,86.36,73,662,6.2,19,2.714285714
6,8/22/2023,30.5,86.9,63,553,6.5,20,2.857142857
6,8/23/2023,30.8,87.44,54,474,6.7,21,3
6,8/24/2023,31.3,88.34,51,596,6.5,22,3.142857143
6,8/25/2023,31.4,88.52,73,614,6.7,23,3.285714286
6,8/26/2023,31.4,88.52,52,500,6.2,24,3.428571429
6,8/27/2023,30.1,86.18,51,474,6.2,25,3.571428571
6,8/28/2023,29.4,84.92,76,515,6.5,26,3.714285714
6,8/29/2023,28.7,83.66,65,693,6,27,3.857142857
6,8/30/2023,29.1,84.38,68,782,6.2,28,4
6,8/31/2023,29.2,84.56,59,626,6.6,29,4.142857143
6,9/1/2023,31.7,89.06,77,512,6.5,30,4.285714286
6,9/2/2023,31.7,89.06,77,742,6.5,31,4.428571429
6,9/3/2023,31.7,89.06,53,757,6.5,32,4.571428571
6,9/4/2023,31.7,89.06,77,456,6.8,33,4.714285714
6,9/5/2023,32,89.6,64,642,6.4,34,4.857142857
6,9/6/2023,32.1,89.78,61,517,6.7,35,5
6,9/7/2023,31.5,88.7,56,701,6,36,5.142857143
6,9/8/2023,29.8,85.64,74,793,6.7,37,5.285714286
6,9/9/2023,20.1,68.18,55,490,6.5,38,5.428571429
6,9/10/2023,31.1,87.98,71,555,6.2,39,5.571428571
6,9/11/2023,31.2,88.16,56,549,6.5,40,5.714285714
6,9/12/2023,31.2,88.16,57,793,6.4,41,5.857142857
6,9/13/2023,30.4,86.72,68,491,6.6,42,6
6,9/14/2023,29.1,84.38,68,789,6.2,43,6.142857143
6,9/15/2023,30.6,87.08,61,741,6.3,44,6.285714286
6,9/16/2023,31.5,88.7,71,591,6.4,45,6.428571429
7,8/3/2023,33.4,92.12,74,459,6.5,1,0.142857143
7,8/4/2023,33.5,92.3,78,598,6.3,2,0.285714286
7,8/5/2023,33.4,92.12,51,507,6.1,3,0.428571429
7,8/6/2023,33.4,92.12,58,583,6.1,4,0.571428571
7,8/7/2023,33.4,92.12,75,555,6.2,5,0.714285714
7,8/8/2023,32.3,90.14,61,684,6.7,6,0.857142857
7,8/9/2023,32.3,90.14,64,769,6.1,7,1
7,8/10/2023,22.7,72.86,70,566,6,8,1.142857143
7,8/11/2023,31.9,89.42,68,763,6.5,9,1.285714286
7,8/12/2023,30.2,86.36,80,782,6.5,10,1.428571429
7,8/13/2023,30.1,86.18,68,432,6.4,11,1.571428571
7,8/14/2023,30.1,86.18,56,676,6.8,12,1.714285714
7,8/15/2023,30.1,86.18,52,780,6.5,13,1.857142857
7,8/16/2023,29.8,85.64,53,778,6.1,14,2
7,8/17/2023,29.6,85.28,58,491,6.6,15,2.142857143
7,8/18/2023,30.9,87.62,72,536,6.8,16,2.285714286
7,8/19/2023,30.8,87.44,60,701,6.3,17,2.428571429
7,8/20/2023,30.9,87.62,77,730,6.4,18,2.571428571
7,8/21/2023,30.2,86.36,51,619,6.3,19,2.714285714
7,8/22/2023,30.5,86.9,71,503,6.2,20,2.857142857
7,8/23/2023,30.8,87.44,58,503,6.2,21,3
7,8/24/2023,31.3,88.34,57,552,6.1,22,3.142857143
7,8/25/2023,31.4,88.52,77,617,6.5,23,3.285714286
7,8/26/2023,31.4,88.52,61,640,6.6,24,3.428571429
7,8/27/2023,30.1,86.18,55,600,6.5,25,3.571428571
7,8/28/2023,29.4,84.92,79,670,6.7,26,3.714285714
7,8/29/2023,28.7,83.66,63,541,6,27,3.857142857
7,8/30/2023,29.1,84.38,62,498,6.5,28,4
7,8/31/2023,29.2,84.56,80,426,6.6,29,4.142857143
7,9/1/2023,31.7,89.06,52,583,6.5,30,4.285714286
7,9/2/2023,31.7,89.06,67,696,6.7,31,4.428571429
7,9/3/2023,31.7,89.06,71,781,6.6,32,4.571428571
7,9/4/2023,31.7,89.06,79,436,6.7,33,4.714285714
7,9/5/2023,32,89.6,78,466,6.6,34,4.857142857
7,9/6/2023,32.1,89.78,76,472,6.5,35,5
7,9/7/2023,31.5,88.7,54,749,6.8,36,5.142857143
7,9/8/2023,29.8,85.64,54,645,6.4,37,5.285714286
7,9/9/2023,20.1,68.18,63,555,6.2,38,5.428571429
7,9/10/2023,31.1,87.98,53,545,6.2,39,5.571428571
7,9/11/2023,31.2,88.16,53,800,6.7,40,5.714285714
7,9/12/2023,31.2,88.16,52,468,6.7,41,5.857142857
7,9/13/2023,30.4,86.72,52,777,6.6,42,6
7,9/14/2023,29.1,84.38,60,459,6.6,43,6.142857143
7,9/15/2023,30.6,87.08,69,787,6,44,6.285714286
7,9/16/2023,31.5,88.7,72,508,6.3,45,6.428571429
7,9/17/2023,29.1,84.38,62,696,6.5,46,6.571428571
7,9/18/2023,30.5,86.9,58,600,6.2,47,6.714285714
8,8/3/2023,33.4,92.12,76,650,6,1,0.142857143
8,8/4/2023,33.5,92.3,77,457,6.3,2,0.285714286
8,8/5/2023,33.4,92.12,72,454,6.7,3,0.428571429
8,8/6/2023,33.4,92.12,71,673,6.4,4,0.571428571
8,8/7/2023,33.4,92.12,78,700,6,5,0.714285714
8,8/8/2023,32.3,90.14,63,588,6.7,6,0.857142857
8,8/9/2023,32.3,90.14,59,434,6.4,7,1
8,8/10/2023,22.7,72.86,60,708,6.6,8,1.142857143
8,8/11/2023,31.9,89.42,64,699,6.6,9,1.285714286
8,8/12/2023,30.2,86.36,55,403,6.6,10,1.428571429
8,8/13/2023,30.1,86.18,77,606,6.3,11,1.571428571
8,8/14/2023,30.1,86.18,57,763,6.3,12,1.714285714
8,8/15/2023,30.1,86.18,59,727,6.2,13,1.857142857
8,8/16/2023,29.8,85.64,51,649,6.4,14,2
8,8/17/2023,29.6,85.28,74,586,6.5,15,2.142857143
8,8/18/2023,30.9,87.62,70,415,6.6,16,2.285714286
8,8/19/2023,30.8,87.44,62,422,6.4,17,2.428571429
8,8/20/2023,30.9,87.62,76,781,6.5,18,2.571428571
8,8/21/2023,30.2,86.36,79,742,6.7,19,2.714285714
8,8/22/2023,30.5,86.9,53,715,6.1,20,2.857142857
8,8/23/2023,30.8,87.44,59,411,6,21,3
8,8/24/2023,31.3,88.34,67,553,6.1,22,3.142857143
8,8/25/2023,31.4,88.52,73,565,6.2,23,3.285714286
8,8/26/2023,31.4,88.52,79,619,6.3,24,3.428571429
8,8/27/2023,30.1,86.18,68,542,6.7,25,3.571428571
8,8/28/2023,29.4,84.92,54,559,6.2,26,3.714285714
8,8/29/2023,28.7,83.66,78,779,6.5,27,3.857142857
8,8/30/2023,29.1,84.38,72,630,6.4,28,4
8,8/31/2023,29.2,84.56,55,483,6.4,29,4.142857143
8,9/1/2023,31.7,89.06,61,775,6.6,30,4.285714286
8,9/2/2023,31.7,89.06,54,458,6.6,31,4.428571429
8,9/3/2023,31.7,89.06,76,438,6.5,32,4.571428571
8,9/4/2023,31.7,89.06,63,538,6.4,33,4.714285714
8,9/5/2023,32,89.6,75,697,6.7,34,4.857142857
8,9/6/2023,32.1,89.78,50,605,6.4,35,5
8,9/7/2023,31.5,88.7,75,555,6.6,36,5.142857143
8,9/8/2023,29.8,85.64,75,484,6.2,37,5.285714286
8,9/9/2023,20.1,68.18,69,763,6.8,38,5.428571429
8,9/10/2023,31.1,87.98,75,698,6.7,39,5.571428571
8,9/11/2023,31.2,88.16,76,720,6.5,40,5.714285714
8,9/12/2023,31.2,88.16,51,768,6.1,41,5.857142857
8,9/13/2023,30.4,86.72,78,472,6.2,42,6
8,9/14/2023,29.1,84.38,51,458,6.2,43,6.142857143
8,9/15/2023,30.6,87.08,50,632,6.2,44,6.285714286
8,9/16/2023,31.5,88.7,65,546,6.2,45,6.428571429
9,8/3/2023,33.4,92.12,72,693,6.4,1,0.142857143
9,8/4/2023,33.5,92.3,80,434,6,2,0.285714286
9,8/5/2023,33.4,92.12,70,671,6.3,3,0.428571429
9,8/6/2023,33.4,92.12,64,613,6.1,4,0.571428571
9,8/7/2023,33.4,92.12,79,731,6.3,5,0.714285714
9,8/8/2023,32.3,90.14,70,658,6.3,6,0.857142857
9,8/9/2023,32.3,90.14,62,538,6.6,7,1
9,8/10/2023,22.7,72.86,72,455,6.2,8,1.142857143
9,8/11/2023,31.9,89.42,62,646,6.7,9,1.285714286
9,8/12/2023,30.2,86.36,74,563,6.8,10,1.428571429
9,8/13/2023,30.1,86.18,80,791,6.4,11,1.571428571
9,8/14/2023,30.1,86.18,72,473,6.6,12,1.714285714
9,8/15/2023,30.1,86.18,52,602,6.3,13,1.857142857
9,8/16/2023,29.8,85.64,66,613,6.3,14,2
9,8/17/2023,29.6,85.28,63,613,6.7,15,2.142857143
9,8/18/2023,30.9,87.62,79,569,6.4,16,2.285714286
9,8/19/2023,30.8,87.44,73,610,6.5,17,2.428571429
9,8/20/2023,30.9,87.62,57,746,6.2,18,2.571428571
9,8/21/2023,30.2,86.36,66,607,6.1,19,2.714285714
9,8/22/2023,30.5,86.9,71,464,6.3,20,2.857142857
9,8/23/2023,30.8,87.44,70,474,6.1,21,3
9,8/24/2023,31.3,88.34,59,461,6.1,22,3.142857143
9,8/25/2023,31.4,88.52,61,667,6.2,23,3.285714286
9,8/26/2023,31.4,88.52,69,721,6.1,24,3.428571429
9,8/27/2023,30.1,86.18,50,775,6.6,25,3.571428571
9,8/28/2023,29.4,84.92,74,445,6.1,26,3.714285714
9,8/29/2023,28.7,83.66,78,635,6.5,27,3.857142857
9,8/30/2023,29.1,84.38,73,684,6.7,28,4
9,8/31/2023,29.2,84.56,54,784,6,29,4.142857143
9,9/1/2023,31.7,89.06,66,597,6.1,30,4.285714286
9,9/2/2023,31.7,89.06,77,501,6.4,31,4.428571429
9,9/3/2023,31.7,89.06,55,490,6.4,32,4.571428571
9,9/4/2023,31.7,89.06,55,468,6.2,33,4.714285714
9,9/5/2023,32,89.6,66,680,6.4,34,4.857142857
9,9/6/2023,32.1,89.78,70,561,6.7,35,5
9,9/7/2023,31.5,88.7,54,697,6,36,5.142857143
9,9/8/2023,29.8,85.64,61,629,6.7,37,5.285714286
9,9/9/2023,20.1,68.18,66,644,6.4,38,5.428571429
9,9/10/2023,31.1,87.98,69,726,6.7,39,5.571428571
9,9/11/2023,31.2,88.16,65,573,6.2,40,5.714285714
9,9/12/2023,31.2,88.16,80,793,6.6,41,5.857142857
9,9/13/2023,30.4,86.72,51,663,6.5,42,6
9,9/14/2023,29.1,84.38,67,516,6.3,43,6.142857143
9,9/15/2023,30.6,87.08,58,455,6.7,44,6.285714286
9,9/16/2023,31.5,88.7,78,722,6.1,45,6.428571429
9,9/17/2023,31.3,88.34,66,505,6.2,46,6.571428571
10,8/3/2023,33.4,92.12,66,503,6.5,1,0.142857143
10,8/4/2023,33.5,92.3,58,414,6.5,2,0.285714286
10,8/5/2023,33.4,92.12,76,679,6.1,3,0.428571429
10,8/6/2023,33.4,92.12,56,607,6.4,4,0.571428571
10,8/7/2023,33.4,92.12,53,527,6.3,5,0.714285714
10,8/8/2023,32.3,90.14,75,658,6.3,6,0.857142857
10,8/9/2023,32.3,90.14,72,623,6.7,7,1
10,8/10/2023,22.7,72.86,74,778,6.6,8,1.142857143
10,8/11/2023,31.9,89.42,67,512,6.4,9,1.285714286
10,8/12/2023,30.2,86.36,60,800,6.7,10,1.428571429
10,8/13/2023,30.1,86.18,52,471,6.2,11,1.571428571
10,8/14/2023,30.1,86.18,62,552,6.8,12,1.714285714
10,8/15/2023,30.1,86.18,74,701,6.6,13,1.857142857
10,8/16/2023,29.8,85.64,51,594,6.5,14,2
10,8/17/2023,29.6,85.28,73,419,6.2,15,2.142857143
10,8/18/2023,30.9,87.62,73,579,6.1,16,2.285714286
